単位数,曜日時限,開講区分,担当教員,授業科目,曜日,開講年度学期,row_index
2.0単位,木4,週間授業,富岡　直人／洪　惠媛,F21640 考古学概論,4,2025年度春学期,73
2.0単位,木3,週間授業,中村　圭司／畠山　唯達,F21910 応用統計学,4,2025年度春学期,74
2.0単位,木3,週間授業,武山　智博,F21920 水圏生態学,4,2025年度秋学期,75
2.0単位,木4,週間授業,宮本　真二,F21980 日本地誌,4,2025年度春学期,76
2.0単位,木5,週間授業,能美　洋介,F22110 地質学,4,2025年度春学期,77
2.0単位,木3,週間授業,土屋　裕太／能美　洋介,F22130 地質図学,4,2025年度秋学期,78
2.0単位,木2,週間授業,大橋　唯太,F22150 大気物理学,4,2025年度秋学期,79
1.0単位,木2,週間授業(学期前半),大橋　唯太,F22151 大気物理学 (前半),4,2025年度秋学期,80
1.0単位,木2,週間授業(学期後半),大橋　唯太,F22152 気象予報の流体力学 (後半),4,2025年度秋学期,81
2.0単位,木4 木5,週間授業,堀越　亮／青木　宏之／高原　周一／森　義裕／齋藤　亜沙実／柳原　章子,F22260 化学基礎実験 木45,4,2025年度秋学期,82
2.0単位,木4,週間授業,畠山　唯達,F22370 地球システム科学,4,2025年度春学期,83
2.0単位,木2,週間授業,本田　充彦／志藤　あずさ,F22540 天文・地球気象学のための数学Ⅰ,4,2025年度春学期,84
2.0単位,木5,週間授業,林　昭次／上野　真太郎,F22620 動物系統学,4,2025年度秋学期,85
2.0単位,木5,週間授業,林　昭次／上野　真太郎,F22621 動物系統分類学,4,2025年度秋学期,86
2.0単位,木3,週間授業,千葉　謙太郎,F22670 古脊椎動物学Ⅰ,4,2025年度秋学期,87
2.0単位,木1,週間授業,志藤　あずさ,F22690 地震学,4,2025年度秋学期,88
2.0単位,木3,週間授業,千葉　謙太郎／加藤　敬史／能美　洋介／福田　尚也／畠山　唯達／高橋　亮雄／宮本　真二／高崎　竜司／洪　惠媛／武山　智博／那須　浩郎／木寺　法子／志藤　あずさ／石垣　忍,F22730 生物地球概論Ⅰ,4,2025年度春学期,89
1.0単位,木3,週間授業(学期前半),千葉　謙太郎／能美　洋介／高橋　亮雄／宮本　真二／木寺　法子／志藤　あずさ／石垣　忍,F22731 生物地球概論Ⅰ (前半),4,2025年度春学期,90
1.0単位,木3,週間授業(学期後半),千葉　謙太郎／加藤　敬史／福田　尚也／畠山　唯達／高崎　竜司／洪　惠媛／武山　智博／那須　浩郎,F22732 生物地球概論Ⅱ (後半),4,2025年度春学期,91
2.0単位,木3,週間授業,大橋　唯太／宇高　寛子／上野　真太郎／藤田　将人／富岡　直人／中村　圭司／辻極　秀次／實吉　玄貴／佐藤　丈晴／矢野　興一／今山　武志／池谷　祐幸／林　昭次／本田　充彦／東馬　哲雄,F22740 生物地球概論Ⅱ,4,2025年度秋学期,92
1.0単位,木3,週間授業(学期前半),大橋　唯太／上野　真太郎／辻極　秀次／今山　武志／林　昭次／本田　充彦／東馬　哲雄,F22741 生物地球概論Ⅲ (前半),4,2025年度秋学期,93
1.0単位,木3,週間授業(学期後半),大橋　唯太／宇高　寛子／藤田　将人／富岡　直人／中村　圭司／實吉　玄貴／佐藤　丈晴／矢野　興一／池谷　祐幸,F22742 生物地球概論Ⅳ (後半),4,2025年度秋学期,94
2.0単位,木4,週間授業,紙田　路子,F22950 初等社会科内容論,4,2025年度春学期,95
2.0単位,木1,週間授業,保森　智彦,F22960 算数科内容論,4,2025年度春学期,96
2.0単位,木3,週間授業,土井　貴子,F23100 教職論,4,2025年度春学期,97
2.0単位,木3,週間授業,土井　貴子,F23101 教職論,4,2025年度春学期,98
2.0単位,木3,週間授業,保森　智彦,F23210 算数科教育法,4,2025年度春学期,99
2.0単位,木2,週間授業,山下　浩之,F23220 初等理科教育法,4,2025年度春学期,0
2.0単位,木3,週間授業,原田　省吾,F23290 初等家庭科教育法,4,2025年度秋学期,1
2.0単位,木2,週間授業,土井　貴子,F23430 教育学演習（教育史）,4,2025年度春学期,2
2.0単位,木2,週間授業,松岡　律,F23440 教育学演習（教育社会学）,4,2025年度春学期,3
2.0単位,木2,週間授業,奥村　弥生,F23450 教育学演習（教育心理学）,4,2025年度春学期,4
1.0単位,木4,週間授業,井本　美穂／矢木　裕子／早川　純平／津上　順子,F23520 ピアノ奏法Ⅱ （Ａ）,4,2025年度秋学期,5
1.0単位,木3,週間授業,井本　美穂／矢木　裕子／早川　純平／津上　順子,F23530 ピアノ奏法Ⅱ （Ｂ）,4,2025年度秋学期,6
1.0単位,木1,週間授業,紙田　路子,F23660 探究活動ⅡＢ,4,2025年度秋学期,7
1.0単位,木1,週間授業,原田　省吾／妻藤　純子,F23670 探究活動ⅡＣ 木１／集中,4,2025年度秋学期,8
1.0単位,木2,週間授業(学期前半),國本　和恵,F23730 初等英語科内容論 (前半),4,2025年度秋学期,9
2.0単位,木4,週間授業,紙田　路子／保森　智彦,F23750 総合的な学習の時間の理論と方法（初等）,4,2025年度秋学期,10
2.0単位,木1,週間授業,奥野　新太郎,F23880 漢文学概論,4,2025年度春学期,11
2.0単位,木2,週間授業,西野　友一朗,F23980 英語科内容論Ｂ,4,2025年度春学期,12
2.0単位,木3,週間授業,ｽｺｯﾄ　ｳｨﾗｰﾄﾞ　ｶﾞｰﾄﾞﾅｰ,F23990 英語コミュニケーションⅠ,4,2025年度春学期,13
2.0単位,木3,週間授業,ｽｺｯﾄ　ｳｨﾗｰﾄﾞ　ｶﾞｰﾄﾞﾅｰ,F24000 英語コミュニケーションⅡ,4,2025年度秋学期,14
2.0単位,木4,週間授業,長谷部　葉子,F24020 異文化理解,4,2025年度春学期,15
2.0単位,木4,週間授業,福島　浩介,F24100 国語科教育法Ⅱ,4,2025年度秋学期,16
2.0単位,木2,週間授業,福島　浩介,F24120 国語科教育法Ⅳ,4,2025年度秋学期,17
2.0単位,木3,週間授業,白神　憲一,F24180 特別活動の理論と方法,4,2025年度春学期,18
2.0単位,木5,週間授業,竹野　純一郎／奥村　弥生／福島　浩介／北原　和明／西野　友一朗／松岡　律／奥野　新太郎／原田　省吾／藤城　孝輔／土井　貴子／笹井　香,F24250 教職実践演習（中・高）,4,2025年度秋学期,19
2.0単位,木4,週間授業,土井　貴子,F24260 教育学演習（教育史）,4,2025年度秋学期,20
2.0単位,木4,週間授業,松岡　律,F24270 教育学演習（教育社会学）,4,2025年度秋学期,21
2.0単位,木4,週間授業,奥村　弥生,F24280 教育学演習（教育心理学）,4,2025年度秋学期,22
2.0単位,木3,週間授業,福島　浩介,F24300 国語科教材分析・開発演習Ｂ,4,2025年度秋学期,23
2.0単位,木3,週間授業,西野　友一朗,F24330 英語科教材分析・開発演習Ｂ,4,2025年度秋学期,24
2.0単位,木4,週間授業,西野　友一朗,F24620 英語文学概論,4,2025年度春学期,25
2.0単位,木3,週間授業,ダッタ　シャミ,F24650 日本語教育入門,4,2025年度春学期,26
2.0単位,木1,週間授業,谷川　依津江／佐藤　恭子／中島　正恵,F24660 日本語教育法Ⅰ,4,2025年度春学期,27
2.0単位,木1,週間授業,谷川　依津江,F24670 日本語教育法Ⅱ,4,2025年度秋学期,28
2.0単位,木2,週間授業,髙橋　良平,F24780 経済学基礎,4,2025年度春学期,29
2.0単位,木5,週間授業,湯下　薫,F24790 簿記基礎,4,2025年度春学期,30
2.0単位,木3,週間授業,横山　ひとみ,F24810 心理学基礎,4,2025年度春学期,31
2.0単位,木2,週間授業,宮脇　靖典,F24820 マーケティング論,4,2025年度秋学期,32
2.0単位,木4,週間授業,宮脇　靖典,F24870 マーケティング・コミュニケーション,4,2025年度秋学期,33
2.0単位,木4,週間授業,本下　真次／谷口　千鶴／藤田　圭一郎,F24900 ベンチャービジネス論,4,2025年度秋学期,34
2.0単位,木3,週間授業,髙橋　良平,F24970 ミクロ経済学,4,2025年度秋学期,35
2.0単位,木1,週間授業,横山　ひとみ,F25070 社会心理学,4,2025年度春学期,36
2.0単位,木4,週間授業,髙橋　良平,F25110 経済政策,4,2025年度春学期,37
2.0単位,木4,週間授業,黒田　正博,F25290 経営情報基礎,4,2025年度春学期,38
2.0単位,木2,週間授業,塚常　健太,F25310 調査と分析,4,2025年度春学期,39
2.0単位,木1,週間授業,藤原　美佳,F25320 データサイエンス入門,4,2025年度秋学期,40
2.0単位,木3,週間授業,森　裕一,F25330 ビジネスデータ分析,4,2025年度秋学期,41
2.0単位,木4,週間授業,塚常　健太／横山　ひとみ,F25340 データサイエンスと分析,4,2025年度春学期,42
2.0単位,木2,週間授業,本下　真次,F25400 国際経営,4,2025年度春学期,43
2.0単位,木3,週間授業,森　裕一,F25430 マーケティングデータ分析１,4,2025年度春学期,44
2.0単位,木2,週間授業,黒田　正博,F25440 マーケティングデータ分析２,4,2025年度秋学期,45
2.0単位,木3,週間授業,岡田　康太,F25480 スポーツマーケティング論,4,2025年度春学期,46
2.0単位,木2,週間授業,赤﨑　哲也／平賀　徹／髙橋　信幸／藤本　義博／春日　二郎,F28310 理科教育法Ⅲ ②《教職》,4,2025年度春学期,47
2.0単位,木4,週間授業,赤﨑　哲也／平賀　徹／髙橋　信幸／藤本　義博／春日　二郎,F28320 理科教育法Ⅲ ③《教職》,4,2025年度春学期,48
2.0単位,木2,週間授業,赤﨑　哲也／平賀　徹／髙橋　信幸／藤本　義博／春日　二郎,F28340 理科教育法Ⅳ ②《教職》,4,2025年度秋学期,49
2.0単位,木4,週間授業,赤﨑　哲也／平賀　徹／髙橋　信幸／藤本　義博／春日　二郎,F28350 理科教育法Ⅳ ③《教職》,4,2025年度秋学期,50
2.0単位,木2,週間授業,田中　泰輔,F28420 教職論 ⑤《教職》,4,2025年度春学期,51
2.0単位,木4,週間授業,田中　泰輔,F28430 教職論 ⑥《教職》,4,2025年度春学期,52
2.0単位,木4,週間授業,田中　泰輔,F28450 教職論 ⑧《教職》,4,2025年度秋学期,53
2.0単位,木2,週間授業,津田　秀哲,F28480 教育の方法と技術 ③動物学科・生物地球学科対象 《教職》,4,2025年度春学期,54
2.0単位,木3,週間授業,津田　秀哲,F28490 教育の方法と技術 ④基礎理学科SB対象 《教職》,4,2025年度春学期,55
2.0単位,木2,週間授業,石田　正人,F28540 生徒・進路指導論 ③基礎理学科SA・化学科対象 《教職》,4,2025年度春学期,56
2.0単位,木2,週間授業,石田　正人,F28570 生徒・進路指導論 ⑥基礎理学科SB対象 《教職》,4,2025年度秋学期,57
2.0単位,木2,週間授業,赤﨑　哲也／平賀　徹／髙橋　信幸／皿田　琢司／坂口　武典／大月　一泰／中島　弘徳／福田　博人／藤本　義博／松本　一郎／田中　泰輔,F28660 教職実践演習（中・高） ⑨ 《教職》,4,2025年度秋学期,58
2.0単位,木2,週間授業,赤﨑　哲也／平賀　徹／髙橋　信幸／皿田　琢司／坂口　武典／大月　一泰／中島　弘徳／福田　博人／藤本　義博／松本　一郎／田中　泰輔,F28670 教職実践演習（中・高） ⑩ 《教職》,4,2025年度秋学期,59
2.0単位,木4,週間授業,白神　憲一／坂口　武典,F28750 特別活動の理論と方法 ③《教職》,4,2025年度春学期,60
1.0単位,木5,週間授業(学期前半),篠田　千枝,F28870 特別支援教育の基礎と方法 ③秋前半 基礎理・工学部対象 《教職》,4,2025年度秋学期,61
1.0単位,木4,週間授業(学期後半),篠田　千枝,F28900 特別支援教育の基礎と方法 ⑥秋後半 動物・生地・情理対象 《教職》,4,2025年度秋学期,62
2.0単位,木4,週間授業,福田　博人／大月　一泰／石井　一郎,F29080 数学科教育法Ⅲ ③応用数学科MB対象 《教職》,4,2025年度春学期,63
2.0単位,木3,週間授業,皿田　琢司,F29140 教育学原論 ④《教職》《学芸員》,4,2025年度春学期,64
2.0単位,木2,週間授業,皿田　琢司,F29160 教育学原論 ⑥《教職》《学芸員》,4,2025年度秋学期,65
2.0単位,木3,週間授業,松本　一郎,F29240 教育行政学 ① 《教職》,4,2025年度春学期,66
2.0単位,木4,週間授業,松本　一郎,F29250 教育行政学 ② 《教職》,4,2025年度春学期,67
2.0単位,木3,週間授業,松本　一郎,F29260 教育行政学 ③ 《教職》,4,2025年度秋学期,68
2.0単位,木2,週間授業,山内　大介,F29780 線形代数学 山内大介,4,2025年度春学期,69
2.0単位,木3,週間授業,俣野　和明,F29790 材料工学,4,2025年度春学期,70
2.0単位,木2,週間授業,高橋　亮雄／藤田　将人／加藤　敬史／辻極　秀次／高崎　竜司／實吉　玄貴／林　昭次／千葉　謙太郎,F29990 古生物学概論,4,2025年度秋学期,71
2.0単位,木1,週間授業,戸田　修司,FV000900 理解と表現１,4,2025年度春学期,72
2.0単位,木1,週間授業,竹谷　浩介／村田　拓也,FV001000 理解と表現２,4,2025年度秋学期,73
2.0単位,木2,週間授業,小林　忠資,FV003100 社会を読みとくＡ （教育学）,4,2025年度秋学期,74
2.0単位,木1,週間授業,安田　貴徳,FV003400 データを読みとく,4,2025年度秋学期,75
2.0単位,木2,週間授業,大熊　一正,FV003410 データを読みとく,4,2025年度秋学期,76
2.0単位,木1,週間授業,木村　展之／鍬田　龍星,FV003500 自然を読みとく,4,2025年度春学期,77
2.0単位,木2,週間授業,深瀬　徹,FV003900 基盤生物学,4,2025年度春学期,78
1.0単位,木2,週間授業,チェルベリオーネ　ミケーレ,FV004400 作文英語,4,2025年度春学期,79
1.0単位,木2,週間授業,ｸﾛｯｶｰ ﾈｲｻﾝ ﾃﾞｲﾋﾞｯﾄﾞ,FV004420 作文英語,4,2025年度春学期,80
1.0単位,木2,週間授業,チェルベリオーネ　ミケーレ,FV004430 作文英語,4,2025年度秋学期,81
1.0単位,木2,週間授業,ラヒースト　ディヴィッド　ジョセフ,FV004440 作文英語,4,2025年度春学期,82
1.0単位,木2,週間授業,田口　純,FV004700 発表英語,4,2025年度春学期,83
1.0単位,木2,週間授業,田口　純,FV004710 発表英語,4,2025年度秋学期,84
1.0単位,木2,週間授業,ラヒースト　ディヴィッド　ジョセフ,FV004720 発表英語,4,2025年度秋学期,85
1.0単位,木1,週間授業,張　永慶,FV005220 初修外国語１ （中国語）,4,2025年度春学期,86
1.0単位,木2,週間授業,チェ　チャンオク,FV005260 初修外国語１ （ハングル）,4,2025年度春学期,87
1.0単位,木1,週間授業,張　永慶,FV005320 初修外国語２ （中国語）,4,2025年度秋学期,88
1.0単位,木2,週間授業,チェ　チャンオク,FV005360 初修外国語２ （ハングル）,4,2025年度秋学期,89
1.0単位,木1 木2,週間授業(学期前半),明比　孝善,FV006000 スポーツスタディ （テニス）,4,2025年度春学期,90
1.0単位,木1 木2,週間授業(学期前半),明比　孝善,FV006010 スポーツスタディ （テニス）,4,2025年度秋学期,91
0.5単位,木1,週間授業(学期前半),江藤　真澄／梶川　修平／藤原　信行,FV112500 専門英語ⅠＡ,4,2025年度春学期,92
0.5単位,木1,週間授業(学期後半),竹谷　浩介／荒木　真美／宮前　二朗,FV112600 専門英語ⅠＢ,4,2025年度春学期,93
0.5単位,木1,週間授業(学期前半),江藤　真澄／千葉　秀一／田中　良法,FV112700 専門英語ⅡＡ,4,2025年度秋学期,94
0.5単位,木1,週間授業(学期後半),向田　昌司／佐伯　亘平／林　慶,FV112800 専門英語ⅡＢ,4,2025年度秋学期,95
0.5単位,木1,週間授業(学期前半),田口　純,FV112900 応用英語ⅠＡ,4,2025年度春学期,96
0.5単位,木1,週間授業(学期前半),トビー　カーティス,FV112910 応用英語ⅠＡ,4,2025年度春学期,97
0.5単位,木1,週間授業(学期前半),チェルベリオーネ　ミケーレ,FV112920 応用英語ⅠＡ,4,2025年度春学期,98
0.5単位,木1,週間授業(学期前半),菅　開,FV112930 応用英語ⅠＡ,4,2025年度春学期,99
0.5単位,木1,週間授業(学期後半),田口　純,FV113000 応用英語ⅠＢ,4,2025年度春学期,0
0.5単位,木1,週間授業(学期後半),トビー　カーティス,FV113010 応用英語ⅠＢ,4,2025年度春学期,1
0.5単位,木1,週間授業(学期後半),チェルベリオーネ　ミケーレ,FV113020 応用英語ⅠＢ,4,2025年度春学期,2
0.5単位,木1,週間授業(学期後半),菅　開,FV113030 応用英語ⅠＢ,4,2025年度春学期,3
0.5単位,木1,週間授業(学期前半),田口　純,FV113100 応用英語ⅡＡ,4,2025年度秋学期,4
0.5単位,木1,週間授業(学期前半),トビー　カーティス,FV113110 応用英語ⅡＡ,4,2025年度秋学期,5
0.5単位,木1,週間授業(学期前半),チェルベリオーネ　ミケーレ,FV113120 応用英語ⅡＡ,4,2025年度秋学期,6
0.5単位,木1,週間授業(学期前半),菅　開,FV113130 応用英語ⅡＡ,4,2025年度秋学期,7
0.5単位,木1,週間授業(学期後半),田口　純,FV113200 応用英語ⅡＢ,4,2025年度秋学期,8
0.5単位,木1,週間授業(学期後半),トビー　カーティス,FV113210 応用英語ⅡＢ,4,2025年度秋学期,9
0.5単位,木1,週間授業(学期後半),チェルベリオーネ　ミケーレ,FV113220 応用英語ⅡＢ,4,2025年度秋学期,10
0.5単位,木1,週間授業(学期後半),菅　開,FV113230 応用英語ⅡＢ,4,2025年度秋学期,11
0.5単位,木1,週間授業(学期前半),張　永慶,FV114100 中国語ⅠＡ,4,2025年度春学期,12
0.5単位,木1,週間授業(学期後半),張　永慶,FV114200 中国語ⅠＢ,4,2025年度春学期,13
0.5単位,木1,週間授業(学期前半),張　永慶,FV114300 中国語ⅡＡ,4,2025年度秋学期,14
0.5単位,木1,週間授業(学期後半),張　永慶,FV114400 中国語ⅡＢ,4,2025年度秋学期,15
0.5単位,木2,週間授業(学期前半),チェ　チャンオク,FV114510 ハングルⅠＡ,4,2025年度春学期,16
0.5単位,木2,週間授業(学期後半),チェ　チャンオク,FV114610 ハングルⅠＢ,4,2025年度春学期,17
0.5単位,木2,週間授業(学期前半),チェ　チャンオク,FV114710 ハングルⅡＡ,4,2025年度秋学期,18
0.5単位,木2,週間授業(学期後半),チェ　チャンオク,FV114810 ハングルⅡＢ,4,2025年度秋学期,19
1.0単位,木1,週間授業(学期後半),木村　展之,FV222600 現代人の科学Ａ,4,2025年度春学期,20
1.0単位,木1,週間授業(学期前半),鍬田　龍星,FV222800 現代人の科学Ｃ,4,2025年度春学期,21
1.0単位,木2,週間授業(学期後半),渡邉　剛央,FVM00400 獣医事法規,4,2025年度春学期,22
1.0単位,火3 火4 火5 水3 水4 水5 木3 木4 木5,週間授業(学期前半),江藤　真澄／近久　幸子／兒玉　朋子／荒木　真美／本間　健志／水野　理介／竹谷　浩介／千葉　秀一／松井　利康／村田　拓也／向田　昌司／田中　良法／野原　正勝,FVM00700 生命科学実習 【火～木】,4,2025年度春学期,23
1.0単位,火3 火4 火5 水3 水4 水5 木3 木4 木5,週間授業(学期後半),竹谷　浩介／近久　幸子／江藤　真澄／千葉　秀一／村田　拓也／田中　良法,FVM01600 獣医生化学実習 【火～木】,4,2025年度春学期,24
1.0単位,水3 水4 水5 木3 木4 木5,週間授業(学期後半),村田　拓也／近久　幸子／江藤　真澄／竹谷　浩介／千葉　秀一／田中　良法,FVM01800 獣医生理学実習 【水木】,4,2025年度秋学期,25
2.0単位,月4 火3 火5 水4 木3 木5,週間授業(学期後半),松井　利康／荒木　真美／本間　健志／中村　進一／奥田　ゆう／嘉手苅　将,FVM02100 獣医解剖学実習 【月～木】,4,2025年度秋学期,26
1.0単位,水3 水4 水5 木3 木4 木5,週間授業(学期前半),松井　利康／荒木　真美／本間　健志,FVM02200 獣医組織学実習 【水～木】,4,2025年度秋学期,27
1.0単位,月4 火3 火5 水4 木3 木5,週間授業(学期後半),向田　昌司／兒玉　朋子／水野　理介／齋藤　文代／藤原　信行／早川　晃司,FVM02500 獣医薬理学実習 【月～木】,4,2025年度春学期,28
2.0単位,木1 木2,週間授業(学期前半),渡辺　俊平／児島　一州／畑　明寿／藤井　ひかる,FVM02600 獣医微生物学,4,2025年度春学期,29
2.0単位,月3 月4 月5 火3 火4 火5 水3 水4 水5 木3 木4 木5,週間授業(学期前半),渡辺　俊平／小川　寛人／児島　一州／木村　展之／小野　文子／太田　奈保美／藤井　ひかる／鍬田　龍星,FVM02700 獣医微生物学実習 【月～木】,4,2025年度春学期,30
1.0単位,水3 水5 木4,週間授業(学期後半),西木　禎一／兒玉　朋子／小野　岳人／東　恒仁／水野　理介／向田　昌司／藤原　信行／早川　晃司,FVM02900 獣医毒性学実習 【水木】,4,2025年度秋学期,31
2.0単位,木1 木2,週間授業(学期後半),片山　圭一／梶川　修平,FVM03000 動物実験学,4,2025年度春学期,32
1.0単位,月3 月5 火4 水3 水5 木4,週間授業(学期後半),梶川　修平／小野　岳人／片山　圭一／東　恒仁／邊見　弘明／藤原　信行／宮前　二朗／村上　康平／早川　晃司,FVM03100 獣医実験動物学実習 【月～木】,4,2025年度春学期,33
1.0単位,月4 火3 火5 水4 木3 木5,週間授業(学期後半),嘉手苅　将／中村　進一／杉山　晶彦,FVM03400 獣医病理解剖学実習 【月～木】,4,2025年度春学期,34
1.0単位,木2,週間授業(学期前半),田川　道人,FVM03800 臨床検査学入門,4,2025年度春学期,35
1.0単位,水3 水5 木4,週間授業(学期後半),横山　博／米加田　徹,FVM04300 魚病学実習 【水木】,4,2025年度春学期,36
1.0単位,月3 月4 月5 火3 火4 火5 水3 水4 水5 木3 木4 木5,週間授業(学期前半),作道　章一／神田　卓弥／太田　奈保美,FVM05000 食品衛生学実習 【月～木】,4,2025年度春学期,37
2.0単位,木1 木2,週間授業(学期前半),早川　晃司,FVM05500 遺伝育種学,4,2025年度秋学期,38
2.0単位,木3 木4,週間授業(学期前半),三河　翔馬／下川　孝子／小林　宏祐,FVM06600 獣医消化器病学,4,2025年度春学期,39
1.0単位,木2,週間授業(学期後半),糸井　崇将,FVM06900 獣医神経病学,4,2025年度春学期,40
1.0単位,木3,週間授業(学期前半),岩田　惠理,FVM07300 動物行動治療学,4,2025年度秋学期,41
1.0単位,木3 木4 木5 金3 金4 金5,週間授業(学期前半),下川　孝子／田川　道人／酒井　治／吉竹　涼平／岡田　大輝／中村　有加里／水谷　真也／朱　夏希／糸井　崇将／松田　彬／杉本　佳介／望月　庸平／三河　翔馬／村上　康平／小林　宏祐,FVM07400 小動物内科学実習 【木金】,4,2025年度秋学期,42
1.0単位,木2,週間授業(学期後半),岡村　泰彦／佐伯　亘平／浅沼　武敏／小林　宏祐,FVM08000 獣医臨床腫瘍学,4,2025年度秋学期,43
1.5単位,火3 火4 火5 水3 水4 水5 木3 木4 木5 金3 金4 金5,週間授業(学期後半),岡村　泰彦／酒井　治／吉竹　涼平／岡田　大輝／前田　憲孝／神田　鉄平／中村　有加里／佐伯　亘平／水谷　真也／朱　夏希／糸井　崇将／中嶋　幸生／新井　清隆,FVM08200 小動物外科学実習 【火～金】,4,2025年度秋学期,44
2.0単位,月3 月4 月5 火3 火4 火5 水3 水4 水5 木3 木4 木5,週間授業(学期後半),篠塚　康典／山本　直樹／後藤　聡／久枝　啓一／井上　陽一,FVM08700 産業動物臨床実習 【月～木】,4,2025年度春学期,45
1.0単位,木2,週間授業(学期前半),邊見　弘明／米加田　徹／向田　昌司／梶川　修平／村上　康平,FVM09400 発生工学,4,2025年度秋学期,46
1.0単位,木1,週間授業(学期前半),梶川　修平／片山　圭一／木村　展之／小野　文子／千葉　秀一／西木　禎一,FVM09500 獣医病態モデル学,4,2025年度秋学期,47
1.0単位,木3,週間授業(学期後半),神林　康弘,FVM10900 セキュリティー学,4,2025年度秋学期,48
1.0単位,木4,週間授業(学期後半),神林　康弘,FVM11000 グローバル食品管理科学,4,2025年度秋学期,49
2.0単位,木3 木4,週間授業(学期後半),小川　寛人,FVM11300 動物危機管理学,4,2025年度春学期,50
1.0単位,木3,週間授業(学期前半),中村　進一／木村　展之,FVM11900 エキゾチックアニマル学,4,2025年度秋学期,51
1.0単位,木1,週間授業(学期後半),星　史雄／前田　憲孝／佐伯　亘平／松田　彬／中嶋　幸生／三河　翔馬／浅沼　武敏／新井　清隆,FVM12200 トランスレーショナル・ベテリナリーメディシン,4,2025年度秋学期,52
1.0単位,木3,週間授業(学期前半),齊藤　真也,FVP00900 生物物理学,4,2025年度秋学期,53
1.0単位,月3 月4 月5 火3 水3 木3 木4 木5,週間授業(学期前半),向田　昌司／兒玉　朋子／小野　岳人／東　恒仁／水野　理介／梶川　修平／藤原　信行,FVP02200 動物薬理学実習 【月～木】,4,2025年度春学期,54
2.0単位,木3 木4,週間授業(学期後半),木村　展之,FVP02300 動物病理学,4,2025年度春学期,55
2.0単位,木2 木3,"週間授業(学期前半)
週間授業(学期後半)",齋藤　文代,FVP02600 動物毒性学,4,2025年度秋学期,56
2.0単位,水2 木3,"週間授業(学期前半)
週間授業(学期後半)",佐伯　香織／古本　佳代,FVP04000 動物看護学概論,4,2025年度秋学期,57
1.0単位,木3,週間授業(学期前半),中村　進一／木村　展之,FVP06300 エキゾチックアニマル学,4,2025年度秋学期,58
1.0単位,木1,週間授業(学期前半),梶川　修平／片山　圭一／木村　展之／小野　文子／千葉　秀一／西木　禎一,FVP06600 獣医病態モデル学,4,2025年度秋学期,59
2.0単位,木3 木4,週間授業(学期後半),小川　寛人,FVP07400 動物危機管理学,4,2025年度春学期,60
1.0単位,木3 木4 木5,週間授業(学期前半),大内　義光／豊後　貴嗣,FVP08100 人工授精学実習,4,2025年度春学期,61
2.0単位,水4 木3,"週間授業(学期前半)
週間授業(学期後半)",木村　展之,FVP10300 生命倫理・動物福祉,4,2025年度春学期,62
1.0単位,木4,週間授業(学期前半),渡邉　剛央,FVP10400 動物看護関連法規,4,2025年度春学期,63
1.0単位,木4,週間授業(学期前半),渡邉　剛央,FVP10500 動物愛護・適正飼養関連法規,4,2025年度秋学期,64
2.0単位,木2,週間授業,豊後　貴嗣／古本　佳代／奥田　ゆう,FVP10600 比較動物学,4,2025年度春学期,65
1.0単位,水3 水4 水5 木3 木4 木5,週間授業(学期後半),久枝　啓一／木村　展之／後藤　聡／豊後　貴嗣／大内　義光／野原　正勝／井上　陽一,FVP11400 産業動物学実習 【水木】,4,2025年度秋学期,66
1.0単位,木4,週間授業(学期後半),小野　文子,FVP11900 適正飼養指導論,4,2025年度秋学期,67
1.0単位,木3 木4 木5,週間授業(学期前半),渡辺　俊平／児島　一州／藤井　ひかる,FVP12800 動物感染症学実習Ａ,4,2025年度秋学期,68
2.0単位,木1,週間授業,宮部　真裕／小野　文子／清水　夕貴,FVP13200 動物内科看護学Ａ,4,2025年度春学期,69
1.0単位,水4 木3 木5,週間授業(学期後半),畑　明寿／宮部　真裕／深瀬　徹／野原　正勝,FVP13600 動物内科看護学実習Ｃ 【水木】,4,2025年度春学期,70
2.0単位,木1,週間授業,佐伯　香織,FVP14000 動物臨床看護学総論,4,2025年度秋学期,71
2.0単位,木2,週間授業,三河　翔馬／杉本　佳介／望月　庸平,FVP14100 動物臨床看護学各論Ａ,4,2025年度秋学期,72
2.0単位,木2,週間授業,前田　憲孝／小野　文子,FVP14300 動物臨床看護学各論Ｃ,4,2025年度春学期,73
1.0単位,水3 水5 木4,週間授業(学期後半),畑　明寿／古本　佳代／宮部　真裕／深瀬　徹,FVP14500 動物臨床検査学実習 【水木】,4,2025年度春学期,74
2.0単位,火5 木3,"週間授業(学期前半)
週間授業(学期後半)",野原　正勝,FVP14600 実験動物学Ｂ,4,2025年度春学期,75
1.0単位,木2,週間授業(学期前半),清水　夕貴／宮部　真裕／佐伯　香織,FVP15000 動物医療コミュニケーション,4,2025年度秋学期,76
2.0単位,木1,週間授業,鷲見　哲男,M00030 地域マネジメント特論,4,2025年度春学期,77
2.0単位,木4,週間授業,本下　真次,M00070 グローバル経営特論,4,2025年度春学期,78
2.0単位,木4,週間授業,藤原　美佳,M00190 マーケティングコミュニケーション演習,4,2025年度秋学期,79
2.0単位,木1,週間授業,川島　正行／稲葉　和正,M00300 応用特異点論,4,2025年度秋学期,80
