単位数,曜日時限,開講区分,担当教員,授業科目,曜日,開講年度学期,row_index
2.0単位,月4,週間授業,田邉　洋一,F12380 基礎物理学Ⅰ ＳＢクラス,1,2025年度春学期,8
2.0単位,月3,週間授業,加地　博子,F12390 基礎物理学Ⅱ ＳＡクラス,1,2025年度秋学期,9
2.0単位,月3,週間授業,田邉　洋一,F12400 基礎物理学Ⅱ ＳＢクラス,1,2025年度秋学期,10
2.0単位,月3,週間授業,山崎　洋一,F12500 確率・統計Ⅰ,1,2025年度春学期,11
2.0単位,月2,週間授業,森　嘉久,F12610 電気磁気学Ⅱ,1,2025年度春学期,12
2.0単位,月2,週間授業,長尾　桂子,F12640 質点の力学Ⅰ,1,2025年度春学期,13
2.0単位,月3,週間授業,山下　善文,F12690 基礎電磁気学Ⅰ （教免以外）,1,2025年度秋学期,14
2.0単位,月3,週間授業,山本　薫,F12700 基礎電磁気学Ⅰ （教免）,1,2025年度秋学期,15
2.0単位,月3,週間授業,山下　善文,F12710 基礎電磁気学Ⅱ （教免以外）,1,2025年度春学期,16
2.0単位,月3,週間授業,山本　薫,F12720 基礎電磁気学Ⅱ （教免）,1,2025年度春学期,17
2.0単位,月2,週間授業,石田　弘樹,F12820 計測工学,1,2025年度春学期,18
2.0単位,月4,週間授業,山内　大介,F12870 ベクトル解析・解析力学,1,2025年度春学期,19
2.0単位,月1,週間授業,今井　剛樹,F12940 熱統計物理,1,2025年度秋学期,20
2.0単位,月2,週間授業,長尾　桂子,F12990 素粒子・原子核物理,1,2025年度秋学期,21
