曜日時限,授業科目,担当教員,開講区分,開講年度学期,単位数,曜日
月2,F05120 人間を読みとくＢ （心理学）鉄川大健,鉄川　大健,週間授業,2025年度秋学期,2.0単位,1
月2,F05160 人間を読みとくＢ （産業と倫理）林美帆,林　美帆,週間授業,2025年度春学期,2.0単位,1
月2,F05170 人間を読みとくＢ （産業と倫理）林美帆,林　美帆,週間授業,2025年度秋学期,2.0単位,1
月3,F05260 文化を読みとくＡ （比較文化論）,辻　維周,週間授業,2025年度春学期,2.0単位,1
月3,F05270 文化を読みとくＡ （比較文化論）,辻　維周,週間授業,2025年度秋学期,2.0単位,1
月3,F05480 社会を読みとくＡ （社会に潜む罠を知る）,平田　豊／藤原　佐千子,週間授業,2025年度春学期,2.0単位,1
月3,F05481 政治学Ａ （社会に潜む罠を知る）,平田　豊／藤原　佐千子,週間授業(学期前半),2025年度春学期,1.0単位,1
月3,F05482 政治学Ｂ （社会に潜む罠を知る）,平田　豊／藤原　佐千子,週間授業(学期後半),2025年度春学期,1.0単位,1
月3,F05490 社会を読みとくＡ （社会に潜む罠を知る）,平田　豊,週間授業,2025年度秋学期,2.0単位,1
月3,F05491 政治学Ａ (前半)（社会に潜む罠を知る）,平田　豊,週間授業(学期前半),2025年度秋学期,1.0単位,1
月3,F05492 政治学Ｂ (後半)（社会に潜む罠を知る）,平田　豊,週間授業(学期後半),2025年度秋学期,1.0単位,1
月2,F05540 社会を読みとくＡ （福祉環境論）,高戸　仁郎,週間授業,2025年度秋学期,2.0単位,1
月2,F05541 福祉環境論Ａ (前半)（福祉環境論）,高戸　仁郎,週間授業(学期前半),2025年度秋学期,1.0単位,1
月2,F05542 福祉環境論Ｂ (後半)（福祉環境論）,高戸　仁郎,週間授業(学期後半),2025年度秋学期,1.0単位,1
月1,F06010 技術を読みとく （数学の仕組みを読みとく）,河野　敏行／川島　正行／加瀬　遼一,週間授業,2025年度春学期,2.0単位,1
月2,F06060 基盤数学（微分積分１） 中川 重和,中川　重和,週間授業,2025年度春学期,2.0単位,1
月2,F06080 基盤数学（微分積分１） 大熊 一正,大熊　一正,週間授業,2025年度春学期,2.0単位,1
月2,F06090 基盤数学（微分積分１） 奥村 英則,奥村　英則,週間授業,2025年度春学期,2.0単位,1
